Q6	Which movies star both Liz Taylor and Richard Burton ?	Give the movies which features both  Liz Taylor and Richard Burton ?	Give me movies acted by both Liz Taylor and Richard Burton .	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Elizabeth_Taylor> ; <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Burton> }
Q81	Give me English actors starring in Lovesick .	Which English actors starred in Lovesick .	Tell me English are actors featuring in Lovesick .	PREFIX dbo: <http://dbpedia.org/ontology/> SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lovesick_(1983_film)> dbo:starring ?uri . ?uri dbo:birthPlace ?city . ?city dbo:country <http://dbpedia.org/resource/United_Kingdom> }
Q92	When was Jack Wolfskin founded ?	In which year was Jack Wolfskin founded?	What is the founding year of Jack Wolfskin ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT xsd:date(?year) WHERE { res:Jack_Wolfskin dbo:foundingYear ?year }
Q40	How many people live in the capital of Australia ?	what is the population of Australia capital ?	What is the population of capital of Australia ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?num WHERE { res:Australia dbo:capital ?x . ?x dbo:populationTotal ?num }
Q33	What is the biggest stadium in Spain ?	What is the name of the biggest stadium in Spain ?	Name the biggest stadium in Spain ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type dbo:Stadium ; dbo:location res:Spain ; dbo:seatingCapacity ?n } ORDER BY DESC(?n) OFFSET 0 LIMIT 1
Q93	When did the Boston Tea Party take place ?	In which year did the Boston Tea Party happen?	Boston Tea Party happened on which date ?	SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boston_Tea_Party> <http://dbpedia.org/property/date> ?d }
Q36	Where is Sungkyunkwan University ?	Where Sungkyunkwan University is located ?	Sungkyunkwan University is loacated at which place?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT DISTINCT ?country WHERE { dbr:Sungkyunkwan_University dbo:city ?city ; dbo:country ?country }
Q50	Who was married to president Chirac ?	What was the name of president Chirac's wife?	Whom Predident Chirac married to?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Jacques_Chirac dbo:spouse ?uri }
Q67	What form of government does Russia have ?	What is the form of government in Russia?	What type of government does Russia consist ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Russia dbo:governmentType ?uri }
Q89	Where is Fort Knox located ?	Where is the location of Fort Knox ?	Where is Fort Knox situated ?	SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Fort_Knox> <http://dbpedia.org/ontology/location> ?uri. ?uri a <http://dbpedia.org/ontology/Place>. }
Q5	Give me all actors who were born in Paris after 1950 .	Give me all actors whose birthplace is Paris and are born post 1950 .	Give me the names of actors born after 1950 in Paris .	SELECT DISTINCT ?uri WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Actor> . ?uri <http://dbpedia.org/ontology/birthPlace> <http://dbpedia.org/resource/Paris> . ?uri <http://dbpedia.org/ontology/birthDate> ?date . FILTER ( ?date >= xsd:dateTime('1950-12-31T00:00:00Z')) }
Q18	What is the smallest city by area in Germany ?	Which city in Germany is smallest by area ?	What is the name of smallest size city in Germany ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX skos: <http://www.w3.org/2004/02/skos/core#> PREFIX dbc: <http://dbpedia.org/resource/Category:> PREFIX dct: <http://purl.org/dc/terms/> SELECT ?city WHERE { ?m skos:broader dbc:Cities_in_Germany . ?city dct:subject ?m ; dbo:areaTotal ?area } ORDER BY ?area LIMIT 1
Q34	How large is the area of UK ?	How much is the area of UK ?	What is the area of  UK ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX dbr: <http://dbpedia.org/resource/> SELECT ?area WHERE { dbr:United_Kingdom dbo:areaTotal ?area }
Q53	Who is the oldest child of Meryl Streep ?	Who is  Meryl Streep's first child ?	Among four who do you think Meryl Streep's oldest child?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Meryl_Streep dbo:child ?uri . ?uri dbo:birthDate ?d } ORDER BY ASC(?d) OFFSET 0 LIMIT 1
Q91	Where did Abraham Lincoln die ?	In which place did Abraham Lincoln die?	Name the place where Abraham Lincoln passed away .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> SELECT DISTINCT ?uri WHERE { res:Abraham_Lincoln dbo:deathPlace ?uri. }
Q100	How many companies were founded by the founder of Facebook ?	What other companies were founded by the founder of Facebook?	What is the count of companies founded by the Facebook founder ?	SELECT (COUNT(DISTINCT ?x) AS ?c) WHERE { <http://dbpedia.org/resource/Facebook> <http://dbpedia.org/ontology/foundedBy> ?uri . ?x <http://dbpedia.org/ontology/foundedBy> ?uri }
Q97	When did princess Diana die ?	How many years ago did princess Diana die?	Give the date when princess Diana died ?	"SELECT DISTINCT xsd:date(?d) WHERE { <http://dbpedia.org/resource/Diana,_Princess_of_Wales> <http://dbpedia.org/ontology/deathDate> ?d }"
Q7	Which beer originated in Ireland ?	name that beer that is born in Ireland ?	What is the name of the beer that originated from Ireland ?	SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Beer> ; <http://dbpedia.org/ontology/origin> <http://dbpedia.org/resource/Beer_in_Ireland> }
Q42	Is James Bond married ?	Does James Bond have a spouse?	Is James Bond not married?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> ASK WHERE { res:James_Bond dbo:spouse ?uri }
Q56	Which scientist is known for the Manhattan Project and the Nobel Peace Prize ?	which scientist is famous for Manhattan Project and has won Nobel Peace Prize ?	Name the famous scientist behind Manhattan Project and also Nobel Peace Prize	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri dbo:knownFor res:Manhattan_Project ; rdf:type dbo:Scientist ; dbo:knownFor res:Nobel_Peace_Prize }
Q1	Who is the mayor of New York City ?	who is current mayor of  New York City ?	What is the name of current New Yyork City mayor ? 	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:New_York_City dbo:leaderName ?uri }
Q11	How many airlines are members of the Star Alliance ?	What number of airlines are part of the Star Alliance ?	Number of airlines those are part of the Star Alliance !	SELECT (COUNT(DISTINCT ?uri) AS ?c) WHERE { ?uri a <http://dbpedia.org/ontology/Airline> ; <http://dbpedia.org/ontology/alliance> <http://dbpedia.org/resource/Star_Alliance> }
Q14	When did Latvia join the EU ?	When did Latvia become part of the EU? 	When did Latvia become part of the EU ?	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Latvia> <http://dbpedia.org/property/accessioneudate> ?date }
Q94	Is the wife of President Obama called Michelle ?	Is Michelle the name of President  Obama's  wife?	Is Michelle spouse of President Obama ?	"PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> ASK WHERE { res:Barack_Obama dbo:spouse ?spouse . ?spouse rdfs:label ?name FILTER regex(?name, \""Michelle\"") }"
Q3	Who created the comic Captain America ?	who broght  Captain America into existence?	Name the person who created the comic Captain America ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?uri WHERE { res:Captain_America dbo:creator ?uri }
Q85	When did Michael Jackson die ?	Which year did Michael Jackson die ?	When was the death of Michael Jackson? 	SELECT DISTINCT ?date WHERE { <http://dbpedia.org/resource/Michael_Jackson> <http://dbpedia.org/ontology/deathDate> ?date }
Q96	Give me all Frisian islands that belong to the Netherlands .	Which are the Frisian islands that Netherland owns?	List out all Frisian islands that are in the territory of Netherlands .	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX yago: <http://dbpedia.org/class/yago/> PREFIX res: <http://dbpedia.org/resource/> PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> SELECT DISTINCT ?uri WHERE { ?uri rdf:type yago:WikicatFrisianIslands ; dbo:country res:Netherlands }
Q45	How tall is Claudia Schiffer ?	What is Claudia Schiffer's height?	What is the height of Claudia Schiffer ?	PREFIX dbo: <http://dbpedia.org/ontology/> PREFIX res: <http://dbpedia.org/resource/> SELECT DISTINCT ?height WHERE { res:Claudia_Schiffer dbo:height ?height }
Q17	Give me a list of all lakes in Denmark .	Tell me the list of all lakes in Denmark .	What are the names of lakes in Denmark ?	SELECT DISTINCT ?uri WHERE { { ?uri a <http://dbpedia.org/ontology/Lake> ; <http://dbpedia.org/ontology/country> <http://dbpedia.org/resource/Denmark> } UNION { ?uri a <http://dbpedia.org/class/yago/LakesOfDenmark> } }
